	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
BGSU1107	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]
CZPR2025	[3.0, 3.0]	[3.0, 3.5]	[3.5, 4.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]
RUMO3008	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]
SWUL2002	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
SWUL3003	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[2.5, 2.0]	[3.5, 4.0]	[3.5, 3.5]	[3.5, 3.5]
DBAN3063	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
NOUO2023	[3.0, 3.0]	[3.0, 3.0]	[1.5, 1.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[4.0, 4.0]
BGSU1076	[3.0, 3.5]	[3.5, 3.5]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]
CZPU1012	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[2.5, 3.0]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.0]
BGSU1105	[3.5, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]
CNUK1072	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
FIHE2001	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
TSNO1416	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.0]	[3.5, 4.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]
CNUK1057	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
SPM07005	[2.0, 2.0]	[3.5, 3.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
FRUC3029	[2.5, 2.5]	[2.5, 1.5]	[2.0, 1.5]	[2.5, 3.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 3.0]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.0]
BGSU1087	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]
FIHE1026	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]
DBAN1005	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 4.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 4.0]
CNUK2020	[2.5, 2.5]	[3.0, 2.0]	[3.5, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
SWUV3004	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOHO1019	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUB1004	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]
SPM04030	[2.0, 1.5]	[3.0, 2.0]	[1.5, 1.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.5]	[2.0, 1.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]
RUMO5040	[3.5, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 2.5]	[2.0, 2.0]
DBAN2023	[2.0, 2.0]	[3.0, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]
DBAN2042	[2.5, 2.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.5]	[2.5, 3.0]
TRCU1054	[2.5, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 2.5]	[2.5, 2.5]
BGSU1130	[2.5, 3.0]	[3.5, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 1.5]	[3.0, 3.0]	[2.0, 1.5]	[3.0, 4.0]	[3.0, 2.5]	[3.0, 2.0]
FIJO1036	[3.5, 3.5]	[4.0, 4.0]	[3.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]
NOOS1021	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 4.0]	[3.5, 3.0]	[3.5, 4.0]
NOUO2035	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
FRUC3054	[3.5, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[2.0, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
POPZ1007	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]
CNUK1132	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.5]
FRUB2026	[2.5, 2.5]	[3.0, 3.5]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]
NOUO2017	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]
FIJY1055	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 4.0]	[2.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
CZPR2030	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 1.0]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]
BGSU1213	[3.5, 3.5]	[3.5, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 4.0]
ITVE3001	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]
NOUO2047	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]
DBAN3048	[3.5, 3.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]
TSNO1022	[3.0, 3.0]	[3.5, 4.0]	[3.5, 4.0]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[2.0, 2.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]
SPM04022	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
FRUC3059	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]
BGSU1279	[3.5, 3.5]	[3.0, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN3040	[3.0, 3.0]	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]
CZPR2051	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 3.0]	[3.0, 2.5]	[2.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]
CZPR2044	[2.5, 2.5]	[3.5, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.0, 1.5]	[2.5, 2.5]	[2.5, 2.0]
RUMO2011	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 2.0]	[3.0, 3.5]
BGSU1142	[2.5, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 1.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.5]
RUMO2003	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]
RUMO3004	[3.0, 2.5]	[3.5, 3.0]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 2.0]	[3.5, 3.0]
FRUL1035	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.0]
FRUC3048	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOUO2003	[3.5, 3.5]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]
POPZ5006	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
TSNO1039	[1.5, 2.0]	[3.5, 4.0]	[3.5, 3.5]	[1.5, 1.0]	[1.0, 1.0]	[1.0, 1.0]	[2.5, 2.5]	[1.5, 2.0]	[1.5, 1.5]	[2.5, 2.0]	[2.0, 2.5]
BGSU1173	[3.5, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 3.5]
TSNO1397	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[2.5, 2.0]	[3.5, 4.0]	[3.0, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]
NOHO1018	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 2.0]	[3.5, 3.0]
BGSU1045	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]
TRCU1050	[2.5, 2.5]	[4.0, 4.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]
FIJY1071	[2.5, 2.5]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
BGSU1053	[2.0, 2.0]	[2.5, 2.5]	[3.5, 3.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUL1006	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.5]
BGSU1017	[3.0, 4.0]	[3.0, 4.0]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TSKC1292	[1.5, 1.0]	[3.5, 4.0]	[3.5, 4.0]	[1.5, 1.5]	[2.0, 1.0]	[2.5, 3.0]	[1.5, 1.5]	[1.5, 1.0]	[1.5, 1.5]	[2.0, 2.0]	[1.5, 2.0]
ITRS2023	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 3.0]	[3.5, 3.5]	[3.0, 3.0]
BGSU1095	[2.5, 3.0]	[2.0, 2.0]	[2.0, 1.5]	[2.0, 3.0]	[2.0, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.0]	[3.0, 2.5]
NOAG1011	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]
BGSU1071	[3.0, 2.5]	[4.0, 2.0]	[3.5, 2.0]	[3.0, 2.0]	[3.5, 2.5]	[3.0, 2.5]	[3.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]
